user_ID,ave_reading_speed,std_reading_speed,Ave_reading_time,Std_reading_time,Average_nword,READ_short,READ_skip,prop_SkipReading,READ_full,prop_fullreading,num_question_answered,average_attempt_times,Std_average_attempts,Ave_first_attempt_rate,Std_first_attempt_rate,Ave_last_attempt_rate,Std_last_attempt_rate,ave_attempt_rate,Std_ave_attempt.rate,class_HCI,Final_exam_grade,final_comp_grade,final_performance
23,115.1925339,127.391494,187.7368421,575.8742477,4899.789474,4,13,0.684210526,2,0.105263158,38,3.229824561,2.7911654,0.342105263,0.435584198,0.771929825,0.369394426,0.394602962,0.383360228,1,0.882955975,0.847952318,0
24,149.4260751,188.6173136,298.7857143,691.5037821,4758.489796,17,61,0.62244898,20,0.204081633,239,3.473789278,3.145219229,0.451283609,0.407557549,0.875170068,0.309456207,0.477548531,0.374518543,1,0.859285714,0.862583056,0
25,85.88831546,144.5186466,440.962963,1252.702163,5076.666667,10,10,0.37037037,7,0.259259259,39,3.685185185,3.983495151,0.358024691,0.430423424,0.703703704,0.398537211,0.4323311,0.383809499,1,0.861822435,0.843553033,0
26,72.10075483,62.08881199,324.9270833,746.856467,8138,15,29,0.604166667,4,0.083333333,230,1.935110294,3.641107392,0.840441176,0.318788509,0.947916667,0.212372198,0.835241418,0.291950196,1,0.894927249,0.854630014,0
27,41.355433,54.76863433,836.4666667,1406.872488,4019.3,2,3,0.3,5,0.5,24,2.166666667,1.45932506,0.216666667,0.342917764,0.366666667,0.463481191,0.23125,0.338565704,1,0.955456832,0.877167684,0
28,288.239698,355.6163489,153.7647059,393.4776424,7070.558824,10,24,0.705882353,0,0,102,2.725816993,1.416060068,0.390499533,0.363332631,0.968137255,0.139163424,0.471793361,0.284913861,0,0.87,0.9406,1
29,46.18310149,34.05336759,2995.833333,5892.1131,5476.5,1,2,0.5,1,0.25,5,1.75,1.5,0.75,0.5,1,0,0.8125,0.375,1,0.910782733,0.863599632,0
30,48.81093008,57.39151164,841.5,1150.462733,8061,0,1,0.5,1,0.5,2,1.5,0.707106781,0.5,0.707106781,1,0,0.75,0.353553391,1,0.841328348,0.870734985,0
31,212.9320217,333.7386603,1049.5625,3263.291374,4692.88,17,63,0.63,20,0.2,227,3.788666667,4.002532083,0.376666667,0.411070159,0.966,0.160315346,0.480173849,0.340497118,1,0.859763107,0.851675322,0
32,13.20035202,20.53427566,1025.423077,1335.828557,4447.230769,7,2,0.076923077,17,0.653846154,66,3.126282051,1.887668598,0.380128205,0.384477112,0.855769231,0.33296454,0.436922799,0.342033394,1,0.921577381,0.911505053,1
33,249.7247016,228.671133,114.6296296,248.1817279,5453.481481,4,22,0.814814815,1,0.037037037,95,3.068518519,2.126764392,0.218209876,0.286315724,0.799382716,0.388303385,0.319567948,0.244320978,0,0.89,0.9058,1
34,82.62542617,213.9399955,397.4642857,593.1600324,4236,26,14,0.25,16,0.285714286,108,2.519642857,2.014252517,0.472916667,0.420816456,0.892857143,0.297172826,0.547042471,0.355056355,0,0.99,0.9841,1
35,135.3460539,196.5198016,494.6111111,602.7314434,9186.666667,6,9,0.5,3,0.166666667,73,3.816951567,2.562527063,0.232051282,0.199179875,0.833333333,0.34299717,0.314583296,0.1726903,0,0.82,0.8806,1
36,59.33716132,68.74110435,379.969697,638.5315304,7665.727273,25,29,0.439393939,12,0.181818182,318,2.950623254,2.039737132,0.409477756,0.403965543,1,0,0.514034931,0.308515239,1,0.845867526,0.892139468,1
37,118.0194691,182.865754,121.4025974,214.9678225,3361.064935,30,43,0.558441558,4,0.051948052,152,3.114718615,2.347896243,0.346320346,0.388773594,0.954545455,0.201667688,0.457053226,0.308071588,0,0.62,0.8546,0
38,142.9776415,40.18001311,35.2,19.01841213,4829.8,0,5,1,0,0,7,4.7,3.563705936,0.4,0.418330013,0.9,0.223606798,0.368717949,0.373622387,1,0.955456832,0.886470009,1
